Country or Area,Element,Year,Unit,Root Value
World,Production,2018,tonnes,10530548
Net Food Importing Developing Countries,Production,2018,tonnes,8626230
Africa,Production,2018,tonnes,7454198
Least Developed Countries,Production,2018,tonnes,7116427
Low Income Food Deficit Countries,Production,2018,tonnes,7114975
Land Locked Developing Countries,Production,2018,tonnes,5921521
Eastern Africa,Production,2018,tonnes,5572947
Ethiopia,Production,2018,tonnes,5487621
Asia,Production,2018,tonnes,1664483
World,Area harvested,2018,ha,1430272
Middle Africa,Production,2018,tonnes,1213158
Net Food Importing Developing Countries,Area harvested,2018,ha,1213096
Africa,Area harvested,2018,ha,1073584
Least Developed Countries,Area harvested,2018,ha,1068065
Low Income Food Deficit Countries,Area harvested,2018,ha,1067136
Democratic Republic of the Congo,Production,2018,tonnes,1063830
Americas,Production,2018,tonnes,910476
Land Locked Developing Countries,Area harvested,2018,ha,881785
Eastern Africa,Area harvested,2018,ha,829999
South-eastern Asia,Production,2018,tonnes,815339
Ethiopia,Area harvested,2018,ha,811401
Southern Asia,Production,2018,tonnes,743073
Small Island Developing States,Production,2018,tonnes,691154
South America,Production,2018,tonnes,564969
Southern Africa,Production,2018,tonnes,537627
Pakistan,Production,2018,tonnes,527436
Oceania,Production,2018,tonnes,439537
Indonesia,Production,2018,tonnes,422519
Melanesia,Production,2018,tonnes,413096
Namibia,Production,2018,tonnes,366414
Papua New Guinea,Production,2018,tonnes,356122
Thailand,Production,2018,tonnes,305379
Mexico,Yield,2018,hg/ha,302297
Peru,Production,2018,tonnes,269368
Serbia,Yield,2018,hg/ha,234887
Central America,Yield,2018,hg/ha,225487
Central America,Production,2018,tonnes,225229
Dominica,Yield,2018,hg/ha,216685
Mexico,Production,2018,tonnes,205532
Panama,Yield,2018,hg/ha,205297
Cook Islands,Yield,2018,hg/ha,203785
Asia,Area harvested,2018,ha,186534
Palestine,Yield,2018,hg/ha,183702
Western Asia,Yield,2018,hg/ha,183702
Southern Europe,Yield,2018,hg/ha,179482
Nepal,Production,2018,tonnes,178328
Bhutan,Yield,2018,hg/ha,170072
Jamaica,Yield,2018,hg/ha,169491
Martinique,Yield,2018,hg/ha,167166
Middle Africa,Area harvested,2018,ha,166520
Slovenia,Yield,2018,hg/ha,166285
Spain,Yield,2018,hg/ha,164624
Singapore,Yield,2018,hg/ha,163820
Thailand,Yield,2018,hg/ha,161600
Pakistan,Yield,2018,hg/ha,158406
Saint Vincent and the Grenadines,Yield,2018,hg/ha,154506
Japan,Yield,2018,hg/ha,152316
Eastern Asia,Yield,2018,hg/ha,149170
China,Yield,2018,hg/ha,145799
"China, mainland",Yield,2018,hg/ha,145799
Papua New Guinea,Yield,2018,hg/ha,145417
Democratic Republic of the Congo,Area harvested,2018,ha,145165
C么te d'Ivoire,Yield,2018,hg/ha,142082
Colombia,Production,2018,tonnes,140384
Venezuela (Bolivarian Republic of),Yield,2018,hg/ha,140240
Botswana,Yield,2018,hg/ha,135291
Guam,Yield,2018,hg/ha,135045
Tokelau,Yield,2018,hg/ha,133611
Melanesia,Yield,2018,hg/ha,128106
Americas,Area harvested,2018,ha,127375
Western Africa,Production,2018,tonnes,125101
Oceania,Yield,2018,hg/ha,124421
Suriname,Yield,2018,hg/ha,121450
Caribbean,Production,2018,tonnes,120278
Cambodia,Yield,2018,hg/ha,116634
South-eastern Asia,Area harvested,2018,ha,109170
Puerto Rico,Yield,2018,hg/ha,107814
Southern Asia,Yield,2018,hg/ha,105754
Eastern Asia,Production,2018,tonnes,105265
Botswana,Production,2018,tonnes,102257
Zimbabwe,Yield,2018,hg/ha,100269
French Polynesia,Yield,2018,hg/ha,98171
Polynesia,Yield,2018,hg/ha,92681
Belize,Yield,2018,hg/ha,92428
Small Island Developing States,Area harvested,2018,ha,90247
Southern Africa,Yield,2018,hg/ha,89908
Guinea-Bissau,Production,2018,tonnes,89483
Asia,Yield,2018,hg/ha,89232
Trinidad and Tobago,Yield,2018,hg/ha,88854
Costa Rica,Yield,2018,hg/ha,86963
South America,Area harvested,2018,ha,86862
Namibia,Yield,2018,hg/ha,86139
Guadeloupe,Yield,2018,hg/ha,85819
Tonga,Yield,2018,hg/ha,84435
Europe,Yield,2018,hg/ha,83001
Vanuatu,Yield,2018,hg/ha,82441
Malaysia,Yield,2018,hg/ha,80862
Micronesia,Yield,2018,hg/ha,79095
Kenya,Yield,2018,hg/ha,78976
Colombia,Yield,2018,hg/ha,78897
Cameroon,Yield,2018,hg/ha,78224
Western Africa,Yield,2018,hg/ha,77706
European Union,Yield,2018,hg/ha,76867
Small Island Developing States,Yield,2018,hg/ha,76585
Samoa,Yield,2018,hg/ha,75182
Mozambique,Yield,2018,hg/ha,75141
South-eastern Asia,Yield,2018,hg/ha,74686
Peru,Yield,2018,hg/ha,74601
World,Yield,2018,hg/ha,73626
Democratic Republic of the Congo,Yield,2018,hg/ha,73284
Middle Africa,Yield,2018,hg/ha,72853
Kiribati,Yield,2018,hg/ha,71995
Americas,Yield,2018,hg/ha,71480
Net Food Importing Developing Countries,Yield,2018,hg/ha,71109
Eswatini,Yield,2018,hg/ha,71077
Indonesia,Area harvested,2018,ha,70373
Southern Asia,Area harvested,2018,ha,70264
Africa,Yield,2018,hg/ha,69433
Eswatini,Production,2018,tonnes,68956
Congo,Yield,2018,hg/ha,68816
Ethiopia,Yield,2018,hg/ha,67631
Wallis and Futuna Islands,Yield,2018,hg/ha,67353
Land Locked Developing Countries,Yield,2018,hg/ha,67154
Eastern Africa,Yield,2018,hg/ha,67144
Low Income Food Deficit Countries,Yield,2018,hg/ha,66674
Least Developed Countries,Yield,2018,hg/ha,66629
Guinea-Bissau,Yield,2018,hg/ha,66475
Venezuela (Bolivarian Republic of),Production,2018,tonnes,65940
South America,Yield,2018,hg/ha,65042
Haiti,Production,2018,tonnes,64703
Equatorial Guinea,Yield,2018,hg/ha,64492
Morocco,Yield,2018,hg/ha,64387
Europe,Production,2018,tonnes,61854
Congo,Production,2018,tonnes,61657
Indonesia,Yield,2018,hg/ha,60040
Southern Africa,Area harvested,2018,ha,59798
France,Yield,2018,hg/ha,59628
Western Europe,Yield,2018,hg/ha,59628
Grenada,Yield,2018,hg/ha,56828
Japan,Production,2018,tonnes,55589
European Union,Production,2018,tonnes,55060
Ghana,Yield,2018,hg/ha,54457
Vanuatu,Production,2018,tonnes,53584
Guyana,Yield,2018,hg/ha,53248
Eritrea,Production,2018,tonnes,52978
Nepal,Yield,2018,hg/ha,51799
Togo,Yield,2018,hg/ha,49852
China,Production,2018,tonnes,49676
"China, mainland",Production,2018,tonnes,49676
Honduras,Yield,2018,hg/ha,49082
Bolivia (Plurinational State of),Production,2018,tonnes,47626
Northern Africa,Yield,2018,hg/ha,45938
Maldives,Yield,2018,hg/ha,45731
Egypt,Yield,2018,hg/ha,45578
Cameroon,Production,2018,tonnes,45319
Namibia,Area harvested,2018,ha,42538
Cambodia,Production,2018,tonnes,42320
Equatorial Guinea,Production,2018,tonnes,42242
Nicaragua,Yield,2018,hg/ha,40442
Caribbean,Yield,2018,hg/ha,39405
Saint Lucia,Yield,2018,hg/ha,38682
Eritrea,Yield,2018,hg/ha,37983
Peru,Area harvested,2018,ha,36108
France,Production,2018,tonnes,35771
Western Europe,Production,2018,tonnes,35771
Oceania,Area harvested,2018,ha,35327
Bhutan,Production,2018,tonnes,35139
C么te d'Ivoire,Production,2018,tonnes,34585
Nepal,Area harvested,2018,ha,34427
Pakistan,Area harvested,2018,ha,33296
Melanesia,Area harvested,2018,ha,32247
Timor-Leste,Yield,2018,hg/ha,32019
Caribbean,Area harvested,2018,ha,30524
Ecuador,Yield,2018,hg/ha,28940
Bolivia (Plurinational State of),Yield,2018,hg/ha,28844
Fiji,Yield,2018,hg/ha,26968
Jamaica,Production,2018,tonnes,26468
Southern Europe,Production,2018,tonnes,26084
Ecuador,Production,2018,tonnes,26032
Haiti,Area harvested,2018,ha,25904
Saint Kitts and Nevis,Yield,2018,hg/ha,25629
Timor-Leste,Production,2018,tonnes,24992
Haiti,Yield,2018,hg/ha,24978
Papua New Guinea,Area harvested,2018,ha,24490
United Republic of Tanzania,Yield,2018,hg/ha,22553
Sao Tome and Principe,Yield,2018,hg/ha,21135
Philippines,Yield,2018,hg/ha,20621
Thailand,Area harvested,2018,ha,18897
Kenya,Production,2018,tonnes,18692
Colombia,Area harvested,2018,ha,17793
Bolivia (Plurinational State of),Area harvested,2018,ha,16511
Western Africa,Area harvested,2018,ha,16099
Philippines,Production,2018,tonnes,15294
Polynesia,Production,2018,tonnes,14189
Eritrea,Area harvested,2018,ha,13948
Guyana,Production,2018,tonnes,13908
Guinea-Bissau,Area harvested,2018,ha,13461
Slovenia,Production,2018,tonnes,12683
Micronesia,Production,2018,tonnes,12252
Brunei Darussalam,Yield,2018,hg/ha,11209
Costa Rica,Production,2018,tonnes,10479
Mozambique,Production,2018,tonnes,10264
Central America,Area harvested,2018,ha,9989
Kiribati,Production,2018,tonnes,9896
Eswatini,Area harvested,2018,ha,9702
Saint Vincent and the Grenadines,Production,2018,tonnes,9185
Ecuador,Area harvested,2018,ha,8995
Congo,Area harvested,2018,ha,8960
Timor-Leste,Area harvested,2018,ha,7805
Botswana,Area harvested,2018,ha,7558
Europe,Area harvested,2018,ha,7452
Philippines,Area harvested,2018,ha,7417
European Union,Area harvested,2018,ha,7163
Eastern Asia,Area harvested,2018,ha,7057
Mexico,Area harvested,2018,ha,6799
Serbia,Production,2018,tonnes,6795
Spain,Production,2018,tonnes,6606
Equatorial Guinea,Area harvested,2018,ha,6550
Vanuatu,Area harvested,2018,ha,6500
Honduras,Production,2018,tonnes,6010
France,Area harvested,2018,ha,5999
Western Europe,Area harvested,2018,ha,5999
French Polynesia,Production,2018,tonnes,5982
Cameroon,Area harvested,2018,ha,5793
Northern Africa,Production,2018,tonnes,5364
Egypt,Production,2018,tonnes,5221
Guadeloupe,Production,2018,tonnes,4960
Martinique,Production,2018,tonnes,4865
Venezuela (Bolivarian Republic of),Area harvested,2018,ha,4702
Malaysia,Production,2018,tonnes,4231
Japan,Area harvested,2018,ha,3650
Cambodia,Area harvested,2018,ha,3628
China,Area harvested,2018,ha,3407
"China, mainland",Area harvested,2018,ha,3407
Fiji,Production,2018,tonnes,3390
Puerto Rico,Production,2018,tonnes,3139
Samoa,Production,2018,tonnes,3016
Nicaragua,Production,2018,tonnes,2979
Guyana,Area harvested,2018,ha,2612
C么te d'Ivoire,Area harvested,2018,ha,2434
Grenada,Production,2018,tonnes,2425
Kenya,Area harvested,2018,ha,2367
Guam,Production,2018,tonnes,2356
Tonga,Production,2018,tonnes,2335
Maldives,Production,2018,tonnes,2170
Bhutan,Area harvested,2018,ha,2066
United Republic of Tanzania,Production,2018,tonnes,1799
Saint Lucia,Production,2018,tonnes,1773
Suriname,Production,2018,tonnes,1711
Jamaica,Area harvested,2018,ha,1562
Micronesia,Area harvested,2018,ha,1549
Polynesia,Area harvested,2018,ha,1531
Trinidad and Tobago,Production,2018,tonnes,1527
Cook Islands,Production,2018,tonnes,1456
Southern Europe,Area harvested,2018,ha,1453
Kiribati,Area harvested,2018,ha,1375
Mozambique,Area harvested,2018,ha,1366
Fiji,Area harvested,2018,ha,1257
Honduras,Area harvested,2018,ha,1224
Costa Rica,Area harvested,2018,ha,1205
Zimbabwe,Production,2018,tonnes,1200
Northern Africa,Area harvested,2018,ha,1168
Egypt,Area harvested,2018,ha,1145
Wallis and Futuna Islands,Production,2018,tonnes,1065
Togo,Production,2018,tonnes,843
Palestine,Production,2018,tonnes,805
Western Asia,Production,2018,tonnes,805
United Republic of Tanzania,Area harvested,2018,ha,798
Slovenia,Area harvested,2018,ha,763
Nicaragua,Area harvested,2018,ha,737
Dominica,Production,2018,tonnes,680
French Polynesia,Area harvested,2018,ha,609
Saint Vincent and the Grenadines,Area harvested,2018,ha,595
Brunei Darussalam,Production,2018,tonnes,588
Guadeloupe,Area harvested,2018,ha,578
Saint Kitts and Nevis,Production,2018,tonnes,551
Brunei Darussalam,Area harvested,2018,ha,524
Malaysia,Area harvested,2018,ha,523
Maldives,Area harvested,2018,ha,475
Saint Lucia,Area harvested,2018,ha,458
Grenada,Area harvested,2018,ha,427
Samoa,Area harvested,2018,ha,401
Spain,Area harvested,2018,ha,401
Malawi,Production,2018,tonnes,393
Martinique,Area harvested,2018,ha,291
Puerto Rico,Area harvested,2018,ha,291
Serbia,Area harvested,2018,ha,289
Tonga,Area harvested,2018,ha,276
Saint Kitts and Nevis,Area harvested,2018,ha,215
Belize,Production,2018,tonnes,205
Tokelau,Production,2018,tonnes,192
Ghana,Production,2018,tonnes,190
Guam,Area harvested,2018,ha,174
Trinidad and Tobago,Area harvested,2018,ha,172
Togo,Area harvested,2018,ha,169
Wallis and Futuna Islands,Area harvested,2018,ha,158
Morocco,Production,2018,tonnes,144
Tuvalu,Production,2018,tonnes,143
Suriname,Area harvested,2018,ha,141
Zimbabwe,Area harvested,2018,ha,120
Sao Tome and Principe,Production,2018,tonnes,110
Cook Islands,Area harvested,2018,ha,71
Sao Tome and Principe,Area harvested,2018,ha,52
Palestine,Area harvested,2018,ha,44
Western Asia,Area harvested,2018,ha,44
Ghana,Area harvested,2018,ha,35
Dominica,Area harvested,2018,ha,31
Panama,Production,2018,tonnes,23
Belize,Area harvested,2018,ha,22
Morocco,Area harvested,2018,ha,22
Singapore,Production,2018,tonnes,16
Tokelau,Area harvested,2018,ha,14
Panama,Area harvested,2018,ha,1
Singapore,Area harvested,2018,ha,1
Cyprus,Area harvested,2018,ha,0
Cyprus,Production,2018,tonnes,0
Estonia,Area harvested,2018,ha,0
Estonia,Production,2018,tonnes,0
Northern Europe,Area harvested,2018,ha,0
Northern Europe,Production,2018,tonnes,0